aX,aY,aZ,gX,gY,gZ
1.593,1.329,0.772,-36.377,-93.567,120.117
1.595,1.328,0.795,-33.875,-101.746,84.778
1.581,1.351,0.846,-27.649,-89.111,48.462
1.487,1.278,0.838,-13.733,-67.749,14.771
1.285,1.187,0.749,7.996,-50.171,-17.090
1.025,1.092,0.586,33.264,-39.001,-44.617
0.767,0.999,0.388,57.007,-30.945,-62.805
0.561,0.889,0.205,71.655,-19.531,-67.627
0.477,0.745,0.014,77.087,-2.502,-61.707
0.450,0.695,-0.052,74.646,19.714,-51.819
0.462,0.626,-0.111,63.599,36.072,-35.217
0.555,0.594,-0.062,47.852,48.889,-17.456
0.708,0.638,0.062,33.752,59.875,-6.531
0.884,0.769,0.201,24.353,62.561,-4.395
0.986,0.970,0.252,19.409,54.749,-9.766
1.038,1.159,0.310,18.005,44.556,-24.414
1.091,1.293,0.328,24.109,32.043,-44.434
1.124,1.365,0.304,36.316,14.954,-61.707
1.094,1.323,0.249,50.537,-4.517,-70.923
1.021,1.200,0.209,62.439,-22.217,-70.984
0.925,1.073,0.126,67.871,-36.926,-66.650
0.840,0.945,0.037,67.688,-45.227,-60.059
0.779,0.831,-0.029,60.730,-43.823,-52.429
0.743,0.717,-0.056,51.025,-33.325,-45.288
0.702,0.667,-0.046,43.091,-16.357,-43.396
0.706,0.689,-0.001,37.537,1.526,-47.791
0.745,0.731,0.053,35.889,14.954,-55.664
0.807,0.693,0.126,37.048,21.057,-57.922
0.863,0.545,0.173,40.283,20.630,-50.964
0.867,0.322,0.103,49.500,16.968,-42.358
0.791,0.107,-0.003,61.646,20.752,-41.321
0.712,-0.024,-0.086,67.749,34.729,-49.622
0.672,-0.057,-0.151,63.416,55.176,-59.204
0.630,-0.030,-0.170,47.302,74.951,-64.270
0.624,0.027,-0.133,27.527,92.285,-64.880
0.625,0.184,-0.111,12.512,102.722,-62.378
0.629,0.248,-0.074,3.967,103.943,-62.561
0.790,0.231,-0.034,-17.578,94.299,-59.631
0.990,0.178,0.003,-48.584,71.655,-51.636
1.034,-0.038,0.064,-67.688,51.697,-39.429
0.870,-0.362,0.042,-54.810,42.358,-31.311
0.804,-0.581,-0.008,-17.578,45.288,-44.800
0.764,-0.671,-0.105,11.658,54.443,-69.763
0.742,-0.775,-0.095,12.329,67.688,-86.853
0.717,-0.740,-0.143,-4.883,65.613,-87.280
0.718,-0.721,-0.270,-29.785,49.683,-73.853
0.766,-0.644,-0.289,-54.810,39.307,-62.256
0.821,-0.551,-0.178,-71.594,33.630,-55.969
0.797,-0.452,-0.071,-75.439,25.085,-50.354
0.857,-0.476,0.088,-67.322,20.508,-42.603
0.935,-0.579,0.224,-48.584,15.869,-35.095
1.001,-0.679,0.283,-24.536,5.066,-36.133
0.944,-0.719,0.186,-4.639,-7.019,-43.518
0.894,-0.748,0.112,9.705,-9.766,-46.021
0.909,-0.789,0.037,14.832,-11.536,-37.476
0.952,-0.814,-0.017,13.245,-14.343,-26.428
1.001,-0.792,-0.080,6.226,-19.775,-16.846
1.026,-0.730,-0.138,-2.563,-27.649,-9.399
1.007,-0.606,-0.189,-9.033,-33.447,-3.601
1.042,-0.559,-0.132,-15.137,-33.325,4.333
1.110,-0.532,-0.042,-20.874,-30.640,11.108
1.112,-0.448,-0.038,-22.339,-31.921,12.634
1.091,-0.392,-0.068,-17.273,-32.043,12.451
